net,length_um
clknet_2_1_0_clk,1183.47
clknet_2_0_0_clk,1179.16
clknet_2_3_0_clk,1091.88
clknet_0_clk,1085.88
clknet_2_2_0_clk,1078.57
clk,838.58
_08450_,645.05
_21293_,636.68
_21417_,607.86
_16947_,607.79
_21305_,594.78
_18638_,587.17
_13185_,576.76
_23351_,574.13
_08790_,573.755
_17068_,572.53
_21187_,564.92
_21432_,564.29
_08412_,562.52
_17052_,562.515
_16567_,557.245
_23010_,556.6
_06369_,555.88
_22414_,554.875
_17177_,554.635
_23393_,554.46
_07322_,553.595
_20255_,553.22
_07716_,550.13
_19140_,547.01
_21357_,539.225
_18180_,529.065
_19022_,527.94
_17066_,525.145
_19214_,524.54
_18227_,521.69
_21414_,520.845
_23160_,517.45
_21358_,513.11
_17183_,508.58
_12296_,502.38
net1552,501.515
_08433_,500.59
_19194_,496.325
_07176_,495.83
_24396_,495.73
_16950_,495.35
_23263_,492.92
_19248_,491.595
_08952_,491.13
_08938_,486.395
_23276_,484.71
_19126_,479.17
_17118_,476.55
_08973_,476.36
_08402_,473.59
_23387_,464.72
_23168_,460.63
_06915_,459.135
_07935_,459.01
_19249_,457.675
_06312_,455.985
_08422_,455.15
_07872_,453.58
_23401_,452.6
net1554,452.06
net1519,451.92
_11099_,450.75
_06315_,450.37
_19032_,448.83
_23163_,448.11
net1518,447.74
_19245_,447
net1524,445.97
_25254_,442.59
_22422_,441.17
_08793_,440.1
_24835_,438.88
_21356_,437.635
_23332_,437.425
_08947_,436.93
_08405_,434.03
_08419_,433.065
net1556,431.985
_21362_,431.45
_19257_,430.53
_08939_,429.9
net1544,429.22
_20023_,428.19
_07936_,427.12
_16957_,426.905
net1586,426.02
_08401_,425.455
_07329_,423.49
_18188_,421.93
_21196_,420.76
_19206_,419.69
_08943_,419.205
_25852_,416.5
net351,416.49
_17115_,416.06
_10939_,414.49
net1531,411.03
_20258_,410.61
_26465_,410.15
_12518_,409.825
net1543,408.935
net1587,407.24
_25863_,406.75
net814,401.78
net1739,401.67
net1457,400.48
_23326_,397.585
_07066_,397.28
_16472_,396.92
_07690_,396.555
net1588,395.68
_12356_,394.96
net878,394.63
_24393_,394.12
_07882_,393.41
net629,391.18
_11098_,390.24
net889,389.73
net623,387.52
_07142_,386.51
_12209_,385.645
_07330_,385.435
clknet_6_9_0_clk,385.17
_22423_,384.44
_11807_,383.875
_07067_,383.87
_07859_,383.2
net1502,382.38
_25224_,382.18
net1747,381.92
net839,381.68
net1256,381.54
net681,379.86
net558,377.59
_19125_,377.29
_07326_,376.67
net742,376.22
_18183_,375.37
_08409_,374.94
_11262_,374.47
net1474,374
net1180,373.02
_08230_,372.76
net352,372.21
_26462_,372.155
net787,371.75
_23379_,371.435
_16074_,371.305
net1925,370.31
clknet_6_15_0_clk,370.3
net833,368.93
_10822_,368.82
net680,368.74
net1805,368.14
_25875_,367.965
net1389,366.42
_13476_,366.38
_13057_,366.26
_26459_,366.24
net1737,365.75
net994,364.51
net1471,364.35
net1795,362.8
net462,361.97
net1494,361.34
net1506,359.57
_09805_,359.175
net738,359.125
net1804,358.54
_11548_,357.71
net1158,357.63
net592,357.46
_26460_,356.58
_25247_,356.49
net1885,356.285
net1465,354.585
net978,353.14
_13980_,352.35
_08257_,352.34
_25874_,352.34
net500,351.41
_11418_,351.11
net1797,351
_07072_,350.65
_07395_,350.51
clknet_6_1_0_clk,349.8
net1204,348.81
clknet_6_2_0_clk,348.73
net1883,348.65
_21027_,348.52
net1352,348.5
net700,348.04
_23262_,347.41
_11677_,347.39
net670,346.99
net1801,346.89
net1193,345.67
net1092,345.56
net896,345.38
net1443,344.47
net888,343.87
clknet_6_30_0_clk,343.82
_24511_,343.8
_21292_,343.66
net854,343.2
net1098,343.1
net1501,342.97
_16751_,342.8
clknet_6_11_0_clk,342.67
net1083,342.47
net1517,342.18
_13790_,342.16
net631,340.585
net983,339.95
net1211,339.94
net1510,339.63
_17051_,339.46
net360,338.94
net1250,338.81
net1360,338.15
net1743,338.05
net877,337.88
clknet_6_29_0_clk,337.3
net817,336.48
_25854_,335.46
net1446,335.12
_24398_,334.9
_12493_,334.77
clknet_6_31_0_clk,334.75
net1400,334.205
net1653,334.18
_17168_,333.68
_09021_,333.5
net811,333.25
_08474_,332.85
net745,332.02
_10877_,332
net1841,331.98
net666,331.7
_23167_,331.61
net1844,330.56
net1244,329.88
net646,329.81
net1712,329.77
net1553,329.71
net956,329.31
_20986_,328.875
net313,328.655
net1730,328.5
net714,328.44
net1007,327.99
_11417_,327.97
_12820_,327.91
net1183,327.54
_12333_,327.47
_07403_,327.25
net1764,327.12
net1441,326.86
_12375_,326.81
net1091,325.92
