design,design_name,config,flow_status,total_runtime,routed_runtime,(Cell/mm^2)/Core_Util,DIEAREA_mm^2,CellPer_mm^2,OpenDP_Util,Final_Util,Peak_Memory_Usage_MB,synth_cell_count,tritonRoute_violations,Short_violations,MetSpc_violations,OffGrid_violations,MinHole_violations,Other_violations,Magic_violations,pin_antenna_violations,net_antenna_violations,lvs_total_errors,cvc_total_errors,klayout_violations,wire_length,vias,wns,pl_wns,optimized_wns,fastroute_wns,spef_wns,tns,pl_tns,optimized_tns,fastroute_tns,spef_tns,HPWL,routing_layer1_pct,routing_layer2_pct,routing_layer3_pct,routing_layer4_pct,routing_layer5_pct,routing_layer6_pct,wires_count,wire_bits,public_wires_count,public_wire_bits,memories_count,memory_bits,processes_count,cells_pre_abc,AND,DFF,NAND,NOR,OR,XOR,XNOR,MUX,inputs,outputs,level,DecapCells,WelltapCells,DiodeCells,FillCells,NonPhysCells,TotalCells,CoreArea_um^2,power_slowest_internal_uW,power_slowest_switching_uW,power_slowest_leakage_uW,power_typical_internal_uW,power_typical_switching_uW,power_typical_leakage_uW,power_fastest_internal_uW,power_fastest_switching_uW,power_fastest_leakage_uW,critical_path_ns,suggested_clock_period,suggested_clock_frequency,CLOCK_PERIOD,FP_ASPECT_RATIO,FP_CORE_UTIL,FP_PDN_HPITCH,FP_PDN_VPITCH,GRT_ADJUSTMENT,GRT_REPAIR_ANTENNAS,PL_TARGET_DENSITY,RUN_HEURISTIC_DIODE_INSERTION,STD_CELL_LIBRARY,SYNTH_MAX_FANOUT,SYNTH_STRATEGY
sv_core,core,matrix_config_0,flow completed,0h8m54s0ms,0h6m56s0ms,76600.0,0.09,38300.0,43.46,-1,760.1,3015,0,0,0,0,0,0,0,9,9,0,-1,-1,149705,27610,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,111218699.0,0.0,47.08,44.3,16.01,20.27,1.05,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,3808,1144,83,1812,3447,10294,80146.8672,-1,-1,-1,0.00442,0.00371,2.29e-08,-1,-1,-1,9.07,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_1,flow completed,0h9m7s0ms,0h7m9s0ms,76600.0,0.09,38300.0,43.46,-1,763.05,3015,0,0,0,0,0,0,0,7,6,0,-1,-1,149677,27690,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,111218699.0,0.0,47.08,44.3,16.01,20.27,1.05,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,3801,1144,110,1834,3447,10336,80146.8672,-1,-1,-1,0.00442,0.00372,2.29e-08,-1,-1,-1,9.06,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_2,flow completed,0h8m57s0ms,0h6m59s0ms,76600.0,0.09,38300.0,43.46,-1,764.8,3015,0,0,0,0,0,0,0,5,5,0,-1,-1,149963,27745,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,111218699.0,0.0,47.08,44.3,16.01,20.27,1.05,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,3791,1144,142,1865,3447,10389,80146.8672,-1,-1,-1,0.00442,0.00373,2.29e-08,-1,-1,-1,9.03,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_3,flow completed,0h9m34s0ms,0h7m37s0ms,76600.0,0.09,38300.0,43.46,-1,783.52,3015,0,0,0,0,0,0,0,6,6,0,-1,-1,150340,27892,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,111218699.0,0.0,47.08,44.3,16.01,20.27,1.05,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,3786,1144,150,1870,3447,10397,80146.8672,-1,-1,-1,0.00442,0.00373,2.29e-08,-1,-1,-1,9.07,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_4,flow completed,0h8m55s0ms,0h6m56s0ms,76600.0,0.09,38300.0,43.46,-1,760.03,3015,0,0,0,0,0,0,0,9,9,0,-1,-1,149705,27610,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,111218699.0,0.0,47.08,44.3,16.01,20.27,1.05,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,3808,1144,83,1812,3447,10294,80146.8672,-1,-1,-1,0.00442,0.00371,2.29e-08,-1,-1,-1,9.07,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_5,flow completed,0h9m5s0ms,0h7m8s0ms,76600.0,0.09,38300.0,43.46,-1,763.07,3015,0,0,0,0,0,0,0,7,6,0,-1,-1,149677,27690,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,111218699.0,0.0,47.08,44.3,16.01,20.27,1.05,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,3801,1144,110,1834,3447,10336,80146.8672,-1,-1,-1,0.00442,0.00372,2.29e-08,-1,-1,-1,9.06,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_6,flow completed,0h9m2s0ms,0h7m2s0ms,76600.0,0.09,38300.0,43.46,-1,764.8,3015,0,0,0,0,0,0,0,5,5,0,-1,-1,149963,27745,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,111218699.0,0.0,47.08,44.3,16.01,20.27,1.05,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,3791,1144,142,1865,3447,10389,80146.8672,-1,-1,-1,0.00442,0.00373,2.29e-08,-1,-1,-1,9.03,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_7,flow completed,0h9m32s0ms,0h7m34s0ms,76600.0,0.09,38300.0,43.46,-1,783.23,3015,0,0,0,0,0,0,0,6,6,0,-1,-1,150340,27892,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,111218699.0,0.0,47.08,44.3,16.01,20.27,1.05,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,3786,1144,150,1870,3447,10397,80146.8672,-1,-1,-1,0.00442,0.00373,2.29e-08,-1,-1,-1,9.07,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_8,flow completed,0h8m59s0ms,0h6m57s0ms,76600.0,0.09,38300.0,43.46,-1,760.43,3015,0,0,0,0,0,0,0,9,9,0,-1,-1,149705,27610,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,111218699.0,0.0,47.08,44.3,16.01,20.27,1.05,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,3808,1144,83,1812,3447,10294,80146.8672,-1,-1,-1,0.00442,0.00371,2.29e-08,-1,-1,-1,9.07,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_9,flow completed,0h9m4s0ms,0h7m8s0ms,76600.0,0.09,38300.0,43.46,-1,763.08,3015,0,0,0,0,0,0,0,7,6,0,-1,-1,149677,27690,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,111218699.0,0.0,47.08,44.3,16.01,20.27,1.05,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,3801,1144,110,1834,3447,10336,80146.8672,-1,-1,-1,0.00442,0.00372,2.29e-08,-1,-1,-1,9.06,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_10,flow completed,0h9m2s0ms,0h7m0s0ms,76600.0,0.09,38300.0,43.46,-1,765.09,3015,0,0,0,0,0,0,0,5,5,0,-1,-1,149963,27745,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,111218699.0,0.0,47.08,44.3,16.01,20.27,1.05,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,3791,1144,142,1865,3447,10389,80146.8672,-1,-1,-1,0.00442,0.00373,2.29e-08,-1,-1,-1,9.03,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_11,flow completed,0h9m30s0ms,0h7m33s0ms,76600.0,0.09,38300.0,43.46,-1,783.49,3015,0,0,0,0,0,0,0,6,6,0,-1,-1,150340,27892,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,111218699.0,0.0,47.08,44.3,16.01,20.27,1.05,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,3786,1144,150,1870,3447,10397,80146.8672,-1,-1,-1,0.00442,0.00373,2.29e-08,-1,-1,-1,9.07,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_12,flow completed,0h8m59s0ms,0h6m58s0ms,76600.0,0.09,38300.0,43.46,-1,760.34,3015,0,0,0,0,0,0,0,9,9,0,-1,-1,149705,27610,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,111218699.0,0.0,47.08,44.3,16.01,20.27,1.05,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,3808,1144,83,1812,3447,10294,80146.8672,-1,-1,-1,0.00442,0.00371,2.29e-08,-1,-1,-1,9.07,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
