2023-05-14 03:33 | START  | sv_core    | matrix_config_0
2023-05-14 03:33 | START  | sv_core    | matrix_config_1
2023-05-14 03:42 | SUCCESS| sv_core    | 
2023-05-14 03:42 | DONE   | sv_core    | matrix_config_0: Writing report...
2023-05-14 03:42 | DONE   | sv_core    | Deleting run directory...
2023-05-14 03:42 | DONE   | sv_core    | Deleted run directory.
2023-05-14 03:42 | START  | sv_core    | matrix_config_2
2023-05-14 03:42 | SUCCESS| sv_core    | 
2023-05-14 03:42 | DONE   | sv_core    | matrix_config_1: Writing report...
2023-05-14 03:42 | DONE   | sv_core    | Deleting run directory...
2023-05-14 03:42 | DONE   | sv_core    | Deleted run directory.
2023-05-14 03:42 | START  | sv_core    | matrix_config_3
2023-05-14 03:51 | SUCCESS| sv_core    | 
2023-05-14 03:51 | DONE   | sv_core    | matrix_config_2: Writing report...
2023-05-14 03:52 | DONE   | sv_core    | Deleting run directory...
2023-05-14 03:52 | DONE   | sv_core    | Deleted run directory.
2023-05-14 03:52 | START  | sv_core    | matrix_config_4
2023-05-14 03:52 | SUCCESS| sv_core    | 
2023-05-14 03:52 | DONE   | sv_core    | matrix_config_3: Writing report...
2023-05-14 03:52 | DONE   | sv_core    | Deleting run directory...
2023-05-14 03:52 | DONE   | sv_core    | Deleted run directory.
2023-05-14 03:52 | START  | sv_core    | matrix_config_5
2023-05-14 04:01 | SUCCESS| sv_core    | 
2023-05-14 04:01 | DONE   | sv_core    | matrix_config_4: Writing report...
2023-05-14 04:01 | DONE   | sv_core    | Deleting run directory...
2023-05-14 04:01 | DONE   | sv_core    | Deleted run directory.
2023-05-14 04:01 | START  | sv_core    | matrix_config_6
2023-05-14 04:02 | SUCCESS| sv_core    | 
2023-05-14 04:02 | DONE   | sv_core    | matrix_config_5: Writing report...
2023-05-14 04:02 | DONE   | sv_core    | Deleting run directory...
2023-05-14 04:02 | DONE   | sv_core    | Deleted run directory.
2023-05-14 04:02 | START  | sv_core    | matrix_config_7
2023-05-14 04:10 | SUCCESS| sv_core    | 
2023-05-14 04:10 | DONE   | sv_core    | matrix_config_6: Writing report...
2023-05-14 04:10 | DONE   | sv_core    | Deleting run directory...
2023-05-14 04:10 | DONE   | sv_core    | Deleted run directory.
2023-05-14 04:10 | START  | sv_core    | matrix_config_8
2023-05-14 04:12 | SUCCESS| sv_core    | 
2023-05-14 04:12 | DONE   | sv_core    | matrix_config_7: Writing report...
2023-05-14 04:12 | DONE   | sv_core    | Deleting run directory...
2023-05-14 04:12 | DONE   | sv_core    | Deleted run directory.
2023-05-14 04:12 | START  | sv_core    | matrix_config_9
2023-05-14 04:19 | SUCCESS| sv_core    | 
2023-05-14 04:19 | DONE   | sv_core    | matrix_config_8: Writing report...
2023-05-14 04:20 | DONE   | sv_core    | Deleting run directory...
2023-05-14 04:20 | DONE   | sv_core    | Deleted run directory.
2023-05-14 04:20 | START  | sv_core    | matrix_config_10
2023-05-14 04:21 | SUCCESS| sv_core    | 
2023-05-14 04:21 | DONE   | sv_core    | matrix_config_9: Writing report...
2023-05-14 04:21 | DONE   | sv_core    | Deleting run directory...
2023-05-14 04:21 | DONE   | sv_core    | Deleted run directory.
2023-05-14 04:21 | START  | sv_core    | matrix_config_11
2023-05-14 04:29 | SUCCESS| sv_core    | 
2023-05-14 04:29 | DONE   | sv_core    | matrix_config_10: Writing report...
2023-05-14 04:29 | DONE   | sv_core    | Deleting run directory...
2023-05-14 04:29 | DONE   | sv_core    | Deleted run directory.
2023-05-14 04:29 | START  | sv_core    | matrix_config_12
2023-05-14 04:31 | SUCCESS| sv_core    | 
2023-05-14 04:31 | DONE   | sv_core    | matrix_config_11: Writing report...
2023-05-14 04:31 | DONE   | sv_core    | Deleting run directory...
2023-05-14 04:31 | DONE   | sv_core    | Deleted run directory.
2023-05-14 04:31 | START  | sv_core    | matrix_config_13
2023-05-14 04:38 | SUCCESS| sv_core    | 
2023-05-14 04:38 | DONE   | sv_core    | matrix_config_12: Writing report...
2023-05-14 04:38 | DONE   | sv_core    | Deleting run directory...
2023-05-14 04:38 | DONE   | sv_core    | Deleted run directory.
2023-05-14 04:38 | START  | sv_core    | matrix_config_14
2023-05-14 04:40 | SUCCESS| sv_core    | 
2023-05-14 04:40 | DONE   | sv_core    | matrix_config_13: Writing report...
2023-05-14 04:40 | DONE   | sv_core    | Deleting run directory...
2023-05-14 04:40 | DONE   | sv_core    | Deleted run directory.
2023-05-14 04:40 | START  | sv_core    | matrix_config_15
2023-05-14 04:47 | SUCCESS| sv_core    | 
2023-05-14 04:47 | DONE   | sv_core    | matrix_config_14: Writing report...
2023-05-14 04:48 | DONE   | sv_core    | Deleting run directory...
2023-05-14 04:48 | DONE   | sv_core    | Deleted run directory.
2023-05-14 04:48 | START  | sv_core    | matrix_config_16
2023-05-14 04:50 | SUCCESS| sv_core    | 
2023-05-14 04:50 | DONE   | sv_core    | matrix_config_15: Writing report...
2023-05-14 04:50 | DONE   | sv_core    | Deleting run directory...
2023-05-14 04:50 | DONE   | sv_core    | Deleted run directory.
2023-05-14 04:50 | START  | sv_core    | matrix_config_17
2023-05-14 04:57 | SUCCESS| sv_core    | 
2023-05-14 04:57 | DONE   | sv_core    | matrix_config_16: Writing report...
2023-05-14 04:57 | DONE   | sv_core    | Deleting run directory...
2023-05-14 04:57 | DONE   | sv_core    | Deleted run directory.
2023-05-14 04:57 | START  | sv_core    | matrix_config_18
2023-05-14 05:00 | SUCCESS| sv_core    | 
2023-05-14 05:00 | DONE   | sv_core    | matrix_config_17: Writing report...
2023-05-14 05:00 | DONE   | sv_core    | Deleting run directory...
2023-05-14 05:00 | DONE   | sv_core    | Deleted run directory.
2023-05-14 05:00 | START  | sv_core    | matrix_config_19
2023-05-14 05:06 | SUCCESS| sv_core    | 
2023-05-14 05:06 | DONE   | sv_core    | matrix_config_18: Writing report...
2023-05-14 05:06 | DONE   | sv_core    | Deleting run directory...
2023-05-14 05:06 | DONE   | sv_core    | Deleted run directory.
2023-05-14 05:06 | START  | sv_core    | matrix_config_20
2023-05-14 05:10 | SUCCESS| sv_core    | 
2023-05-14 05:10 | DONE   | sv_core    | matrix_config_19: Writing report...
2023-05-14 05:10 | DONE   | sv_core    | Deleting run directory...
2023-05-14 05:10 | DONE   | sv_core    | Deleted run directory.
2023-05-14 05:10 | START  | sv_core    | matrix_config_21
2023-05-14 05:16 | SUCCESS| sv_core    | 
2023-05-14 05:16 | DONE   | sv_core    | matrix_config_20: Writing report...
2023-05-14 05:16 | DONE   | sv_core    | Deleting run directory...
2023-05-14 05:16 | DONE   | sv_core    | Deleted run directory.
2023-05-14 05:16 | START  | sv_core    | matrix_config_22
2023-05-14 05:19 | SUCCESS| sv_core    | 
2023-05-14 05:19 | DONE   | sv_core    | matrix_config_21: Writing report...
2023-05-14 05:19 | DONE   | sv_core    | Deleting run directory...
2023-05-14 05:19 | DONE   | sv_core    | Deleted run directory.
2023-05-14 05:19 | START  | sv_core    | matrix_config_23
2023-05-14 05:25 | SUCCESS| sv_core    | 
2023-05-14 05:25 | DONE   | sv_core    | matrix_config_22: Writing report...
2023-05-14 05:25 | DONE   | sv_core    | Deleting run directory...
2023-05-14 05:25 | DONE   | sv_core    | Deleted run directory.
2023-05-14 05:25 | START  | sv_core    | matrix_config_24
2023-05-14 05:29 | SUCCESS| sv_core    | 
2023-05-14 05:29 | DONE   | sv_core    | matrix_config_23: Writing report...
2023-05-14 05:29 | DONE   | sv_core    | Deleting run directory...
2023-05-14 05:29 | DONE   | sv_core    | Deleted run directory.
2023-05-14 05:29 | START  | sv_core    | matrix_config_25
2023-05-14 05:35 | SUCCESS| sv_core    | 
2023-05-14 05:35 | DONE   | sv_core    | matrix_config_24: Writing report...
2023-05-14 05:35 | DONE   | sv_core    | Deleting run directory...
2023-05-14 05:35 | DONE   | sv_core    | Deleted run directory.
2023-05-14 05:35 | START  | sv_core    | matrix_config_26
2023-05-14 05:38 | SUCCESS| sv_core    | 
2023-05-14 05:38 | DONE   | sv_core    | matrix_config_25: Writing report...
2023-05-14 05:39 | DONE   | sv_core    | Deleting run directory...
2023-05-14 05:39 | DONE   | sv_core    | Deleted run directory.
2023-05-14 05:39 | START  | sv_core    | matrix_config_27
2023-05-14 05:44 | SUCCESS| sv_core    | 
2023-05-14 05:44 | DONE   | sv_core    | matrix_config_26: Writing report...
2023-05-14 05:44 | DONE   | sv_core    | Deleting run directory...
2023-05-14 05:44 | DONE   | sv_core    | Deleted run directory.
2023-05-14 05:44 | START  | sv_core    | matrix_config_28
2023-05-14 05:48 | SUCCESS| sv_core    | 
2023-05-14 05:48 | DONE   | sv_core    | matrix_config_27: Writing report...
2023-05-14 05:49 | DONE   | sv_core    | Deleting run directory...
2023-05-14 05:49 | DONE   | sv_core    | Deleted run directory.
2023-05-14 05:49 | START  | sv_core    | matrix_config_29
2023-05-14 05:53 | SUCCESS| sv_core    | 
2023-05-14 05:53 | DONE   | sv_core    | matrix_config_28: Writing report...
2023-05-14 05:54 | DONE   | sv_core    | Deleting run directory...
2023-05-14 05:54 | DONE   | sv_core    | Deleted run directory.
2023-05-14 05:54 | START  | sv_core    | matrix_config_30
2023-05-14 05:58 | SUCCESS| sv_core    | 
2023-05-14 05:58 | DONE   | sv_core    | matrix_config_29: Writing report...
2023-05-14 05:58 | DONE   | sv_core    | Deleting run directory...
2023-05-14 05:58 | DONE   | sv_core    | Deleted run directory.
2023-05-14 05:58 | START  | sv_core    | matrix_config_31
2023-05-14 06:03 | SUCCESS| sv_core    | 
2023-05-14 06:03 | DONE   | sv_core    | matrix_config_30: Writing report...
2023-05-14 06:03 | DONE   | sv_core    | Deleting run directory...
2023-05-14 06:03 | DONE   | sv_core    | Deleted run directory.
2023-05-14 06:03 | START  | sv_core    | matrix_config_32
2023-05-14 06:08 | SUCCESS| sv_core    | 
2023-05-14 06:08 | DONE   | sv_core    | matrix_config_31: Writing report...
2023-05-14 06:08 | DONE   | sv_core    | Deleting run directory...
2023-05-14 06:08 | DONE   | sv_core    | Deleted run directory.
2023-05-14 06:08 | START  | sv_core    | matrix_config_33
2023-05-14 06:12 | SUCCESS| sv_core    | 
2023-05-14 06:12 | DONE   | sv_core    | matrix_config_32: Writing report...
2023-05-14 06:12 | DONE   | sv_core    | Deleting run directory...
2023-05-14 06:12 | DONE   | sv_core    | Deleted run directory.
2023-05-14 06:12 | START  | sv_core    | matrix_config_34
2023-05-14 06:17 | SUCCESS| sv_core    | 
2023-05-14 06:17 | DONE   | sv_core    | matrix_config_33: Writing report...
2023-05-14 06:17 | DONE   | sv_core    | Deleting run directory...
2023-05-14 06:17 | DONE   | sv_core    | Deleted run directory.
2023-05-14 06:17 | START  | sv_core    | matrix_config_35
2023-05-14 06:21 | SUCCESS| sv_core    | 
2023-05-14 06:21 | DONE   | sv_core    | matrix_config_34: Writing report...
2023-05-14 06:21 | DONE   | sv_core    | Deleting run directory...
2023-05-14 06:21 | DONE   | sv_core    | Deleted run directory.
2023-05-14 06:21 | START  | sv_core    | matrix_config_36
2023-05-14 06:26 | SUCCESS| sv_core    | 
2023-05-14 06:26 | DONE   | sv_core    | matrix_config_35: Writing report...
2023-05-14 06:26 | DONE   | sv_core    | Deleting run directory...
2023-05-14 06:26 | DONE   | sv_core    | Deleted run directory.
2023-05-14 06:26 | START  | sv_core    | matrix_config_37
2023-05-14 06:30 | SUCCESS| sv_core    | 
2023-05-14 06:30 | DONE   | sv_core    | matrix_config_36: Writing report...
2023-05-14 06:30 | DONE   | sv_core    | Deleting run directory...
2023-05-14 06:30 | DONE   | sv_core    | Deleted run directory.
2023-05-14 06:30 | START  | sv_core    | matrix_config_38
2023-05-14 06:35 | SUCCESS| sv_core    | 
2023-05-14 06:35 | DONE   | sv_core    | matrix_config_37: Writing report...
2023-05-14 06:35 | DONE   | sv_core    | Deleting run directory...
2023-05-14 06:35 | DONE   | sv_core    | Deleted run directory.
2023-05-14 06:35 | START  | sv_core    | matrix_config_39
2023-05-14 06:39 | SUCCESS| sv_core    | 
2023-05-14 06:39 | DONE   | sv_core    | matrix_config_38: Writing report...
2023-05-14 06:39 | DONE   | sv_core    | Deleting run directory...
2023-05-14 06:39 | DONE   | sv_core    | Deleted run directory.
2023-05-14 06:39 | START  | sv_core    | matrix_config_40
2023-05-14 06:44 | SUCCESS| sv_core    | 
2023-05-14 06:44 | DONE   | sv_core    | matrix_config_39: Writing report...
2023-05-14 06:45 | DONE   | sv_core    | Deleting run directory...
2023-05-14 06:45 | DONE   | sv_core    | Deleted run directory.
2023-05-14 06:45 | START  | sv_core    | matrix_config_41
2023-05-14 06:48 | SUCCESS| sv_core    | 
2023-05-14 06:48 | DONE   | sv_core    | matrix_config_40: Writing report...
2023-05-14 06:48 | DONE   | sv_core    | Deleting run directory...
2023-05-14 06:48 | DONE   | sv_core    | Deleted run directory.
2023-05-14 06:48 | START  | sv_core    | matrix_config_42
2023-05-14 06:53 | SUCCESS| sv_core    | 
2023-05-14 06:53 | DONE   | sv_core    | matrix_config_41: Writing report...
2023-05-14 06:54 | DONE   | sv_core    | Deleting run directory...
2023-05-14 06:54 | DONE   | sv_core    | Deleted run directory.
2023-05-14 06:54 | START  | sv_core    | matrix_config_43
2023-05-14 06:57 | SUCCESS| sv_core    | 
2023-05-14 06:57 | DONE   | sv_core    | matrix_config_42: Writing report...
2023-05-14 06:57 | DONE   | sv_core    | Deleting run directory...
2023-05-14 06:57 | DONE   | sv_core    | Deleted run directory.
2023-05-14 06:57 | START  | sv_core    | matrix_config_44
2023-05-14 07:02 | SUCCESS| sv_core    | 
2023-05-14 07:02 | DONE   | sv_core    | matrix_config_43: Writing report...
2023-05-14 07:03 | DONE   | sv_core    | Deleting run directory...
2023-05-14 07:03 | DONE   | sv_core    | Deleted run directory.
2023-05-14 07:03 | START  | sv_core    | matrix_config_45
2023-05-14 07:06 | SUCCESS| sv_core    | 
2023-05-14 07:06 | DONE   | sv_core    | matrix_config_44: Writing report...
2023-05-14 07:06 | DONE   | sv_core    | Deleting run directory...
2023-05-14 07:06 | DONE   | sv_core    | Deleted run directory.
2023-05-14 07:06 | START  | sv_core    | matrix_config_46
2023-05-14 07:11 | SUCCESS| sv_core    | 
2023-05-14 07:11 | DONE   | sv_core    | matrix_config_45: Writing report...
2023-05-14 07:12 | DONE   | sv_core    | Deleting run directory...
2023-05-14 07:12 | DONE   | sv_core    | Deleted run directory.
2023-05-14 07:12 | START  | sv_core    | matrix_config_47
2023-05-14 07:15 | SUCCESS| sv_core    | 
2023-05-14 07:15 | DONE   | sv_core    | matrix_config_46: Writing report...
2023-05-14 07:15 | DONE   | sv_core    | Deleting run directory...
2023-05-14 07:15 | DONE   | sv_core    | Deleted run directory.
2023-05-14 07:15 | Exiting thread 0...
2023-05-14 07:21 | SUCCESS| sv_core    | 
2023-05-14 07:21 | DONE   | sv_core    | matrix_config_47: Writing report...
2023-05-14 07:21 | DONE   | sv_core    | Deleting run directory...
2023-05-14 07:21 | DONE   | sv_core    | Deleted run directory.
2023-05-14 07:21 | Exiting thread 1...
2023-05-14 07:21 | Getting top results...
2023-05-14 07:21 | Done.
